Date,State/UnionTerritory,Confirmed
23/05/20,Assam,259
23/05/20,Bihar,2177
23/05/20,Chandigarh,218
23/05/20,Chhattisgarh,172
23/05/20,Dadar Nagar Haveli,1
23/05/20,Delhi,12319
23/05/20,Goa,54
23/05/20,Gujarat,13268
23/05/20,Haryana,1067
23/05/20,Himachal Pradesh,168
23/05/20,Jammu and Kashmir,1489
23/05/20,Jharkhand,308
23/05/20,Karnataka,1743
23/05/20,Kerala,732
23/05/20,Ladakh,44
23/05/20,Madhya Pradesh,6170
23/05/20,Maharashtra,44582
23/05/20,Manipur,26
23/05/20,Meghalaya,14
23/05/20,Mizoram,1
23/05/20,Odisha,1189
23/05/20,Puducherry,26
23/05/20,Punjab,2029
23/05/20,Rajasthan,6494
23/05/20,Tamil Nadu,14753
23/05/20,Telengana,1761
23/05/20,Tripura,175
23/05/20,Uttarakhand,153
23/05/20,Uttar Pradesh,5735
23/05/20,West Bengal,3332
23/05/20,Cases being reassigned to states,1899
24/05/20,Andaman and Nicobar Islands,33
24/05/20,Andhra Pradesh,2757
24/05/20,Arunachal Pradesh,1
24/05/20,Assam,329
24/05/20,Bihar,2380
24/05/20,Chandigarh,225
24/05/20,Chhattisgarh,214
24/05/20,Dadar Nagar Haveli,2
24/05/20,Delhi,12910
24/05/20,Goa,55
24/05/20,Gujarat,13664
24/05/20,Haryana,1131
24/05/20,Himachal Pradesh,185
24/05/20,Jammu and Kashmir,1569
24/05/20,Jharkhand,350
24/05/20,Karnataka,1959
24/05/20,Kerala,795
24/05/20,Ladakh,49
24/05/20,Madhya Pradesh,6371
24/05/20,Maharashtra,47190
24/05/20,Manipur,29
24/05/20,Meghalaya,14
24/05/20,Mizoram,1
24/05/20,Odisha,1269
24/05/20,Puducherry,26
24/05/20,Punjab,2045
24/05/20,Rajasthan,6742
24/05/20,Sikkim,1
24/05/20,Tamil Nadu,15512
24/05/20,Telengana,1813
24/05/20,Tripura,189
24/05/20,Uttarakhand,244
24/05/20,Uttar Pradesh,6017
24/05/20,West Bengal,3459
24/05/20,Cases being reassigned to states,2338
25/05/20,Andaman and Nicobar Islands,33
25/05/20,Andhra Pradesh,2823
25/05/20,Arunachal Pradesh,1
25/05/20,Assam,378
25/05/20,Bihar,2587
25/05/20,Chandigarh,238
25/05/20,Chhattisgarh,252
25/05/20,Dadar Nagar Haveli,2
25/05/20,Delhi,13418
25/05/20,Goa,66
25/05/20,Gujarat,14056
25/05/20,Haryana,1184
25/05/20,Himachal Pradesh,203
25/05/20,Jammu and Kashmir,1621
25/05/20,Jharkhand,370
25/05/20,Karnataka,2089
25/05/20,Kerala,847
25/05/20,Ladakh,52
25/05/20,Madhya Pradesh,6665
25/05/20,Maharashtra,50231
25/05/20,Manipur,32
25/05/20,Meghalaya,14
25/05/20,Mizoram,1
25/05/20,Odisha,1336
25/05/20,Puducherry,41
25/05/20,Punjab,2060
25/05/20,Rajasthan,7028
25/05/20,Sikkim,1
25/05/20,Tamil Nadu,16277
25/05/20,Telengana,1854
25/05/20,Tripura,191
25/05/20,Uttarakhand,317
25/05/20,Uttar Pradesh,6268
25/05/20,West Bengal,3667
25/05/20,Cases being reassigned to states,2642
26/05/20,Andaman and Nicobar Islands,33
26/05/20,Andhra Pradesh,3110
26/05/20,Arunachal Pradesh,2
26/05/20,Assam,526
26/05/20,Bihar,2730
26/05/20,Chandigarh,238
26/05/20,Chhattisgarh,291
26/05/20,Dadar Nagar Haveli,2
26/05/20,Delhi,14053
26/05/20,Goa,67
26/05/20,Gujarat,14460
26/05/20,Haryana,1184
26/05/20,Himachal Pradesh,223
26/05/20,Jammu and Kashmir,1668
26/05/20,Jharkhand,377
26/05/20,Karnataka,2182
26/05/20,Kerala,896
26/05/20,Ladakh,52
26/05/20,Madhya Pradesh,6859
26/05/20,Maharashtra,52667
26/05/20,Manipur,39
26/05/20,Meghalaya,14
26/05/20,Mizoram,1
26/05/20,Nagaland,3
26/05/20,Odisha,1438
26/05/20,Puducherry,41
26/05/20,Punjab,2060
26/05/20,Rajasthan,7300
26/05/20,Sikkim,1
26/05/20,Tamil Nadu,17082
26/05/20,Telengana,1920
26/05/20,Tripura,194
26/05/20,Uttarakhand,349
26/05/20,Uttar Pradesh,6532
26/05/20,West Bengal,3816
26/05/20,Cases being reassigned to states,2970
27/05/20,Andaman and Nicobar Islands,33
27/05/20,Andhra Pradesh,3171
27/05/20,Arunachal Pradesh,2
27/05/20,Assam,616
27/05/20,Bihar,2983
27/05/20,Chandigarh,266
27/05/20,Chhattisgarh,361
27/05/20,Dadar Nagar Haveli,2
27/05/20,Delhi,14465
27/05/20,Goa,67
27/05/20,Gujarat,14821
27/05/20,Haryana,1305
27/05/20,Himachal Pradesh,247
27/05/20,Jammu and Kashmir,1759
27/05/20,Jharkhand,426
27/05/20,Karnataka,2283
27/05/20,Kerala,963
27/05/20,Ladakh,53
27/05/20,Madhya Pradesh,7024
27/05/20,Maharashtra,54758
27/05/20,Manipur,39
27/05/20,Meghalaya,15
27/05/20,Mizoram,1
