Date,State/UnionTerritory,Cured
4/4/2020,Chandigarh,0
4/4/2020,Chhattisgarh,3
4/4/2020,Delhi,15
4/4/2020,Goa,0
4/4/2020,Gujarat,14
4/4/2020,Haryana,24
4/4/2020,Himachal Pradesh,1
4/4/2020,Jammu and Kashmir,3
4/4/2020,Jharkhand,0
4/4/2020,Karnataka,12
4/4/2020,Kerala,41
4/4/2020,Ladakh,3
4/4/2020,Madhya Pradesh,0
4/4/2020,Maharashtra,42
4/4/2020,Manipur,0
4/4/2020,Mizoram,0
4/4/2020,Odisha,0
4/4/2020,Puducherry,1
4/4/2020,Punjab,1
4/4/2020,Rajasthan,21
4/4/2020,Tamil Nadu,6
4/4/2020,Telengana,1
4/4/2020,Uttarakhand,2
4/4/2020,Uttar Pradesh,19
4/4/2020,West Bengal,3
5/4/2020,Andhra Pradesh,1
5/4/2020,Andaman and Nicobar Islands,0
5/4/2020,Arunachal Pradesh,0
5/4/2020,Assam,0
5/4/2020,Bihar,0
5/4/2020,Chandigarh,0
5/4/2020,Chhattisgarh,3
5/4/2020,Delhi,18
5/4/2020,Goa,0
5/4/2020,Gujarat,18
5/4/2020,Haryana,25
5/4/2020,Himachal Pradesh,1
5/4/2020,Jammu and Kashmir,4
5/4/2020,Jharkhand,0
5/4/2020,Karnataka,12
5/4/2020,Kerala,49
5/4/2020,Ladakh,10
5/4/2020,Madhya Pradesh,0
5/4/2020,Maharashtra,42
5/4/2020,Manipur,0
5/4/2020,Mizoram,0
5/4/2020,Odisha,0
5/4/2020,Puducherry,1
5/4/2020,Punjab,1
5/4/2020,Rajasthan,21
5/4/2020,Tamil Nadu,6
5/4/2020,Telengana,32
5/4/2020,Uttarakhand,2
5/4/2020,Uttar Pradesh,19
5/4/2020,West Bengal,10
6/4/2020,Andhra Pradesh,1
6/4/2020,Andaman and Nicobar Islands,0
6/4/2020,Arunachal Pradesh,0
6/4/2020,Assam,0
6/4/2020,Bihar,0
6/4/2020,Chandigarh,0
6/4/2020,Chhattisgarh,8
6/4/2020,Delhi,19
6/4/2020,Goa,0
6/4/2020,Gujarat,22
6/4/2020,Haryana,25
6/4/2020,Himachal Pradesh,2
6/4/2020,Jammu and Kashmir,4
6/4/2020,Jharkhand,0
6/4/2020,Karnataka,12
6/4/2020,Kerala,55
6/4/2020,Ladakh,10
6/4/2020,Madhya Pradesh,0
6/4/2020,Maharashtra,56
6/4/2020,Manipur,0
6/4/2020,Mizoram,0
6/4/2020,Odisha,2
6/4/2020,Puducherry,1
6/4/2020,Punjab,4
6/4/2020,Rajasthan,21
6/4/2020,Tamil Nadu,8
6/4/2020,Telengana,34
6/4/2020,Uttarakhand,4
6/4/2020,Uttar Pradesh,21
6/4/2020,West Bengal,10
7/4/2020,Andhra Pradesh,1
7/4/2020,Andaman and Nicobar Islands,0
7/4/2020,Arunachal Pradesh,0
7/4/2020,Assam,0
7/4/2020,Bihar,0
7/4/2020,Chandigarh,7
7/4/2020,Chhattisgarh,9
7/4/2020,Delhi,21
7/4/2020,Goa,0
7/4/2020,Gujarat,25
7/4/2020,Haryana,25
7/4/2020,Himachal Pradesh,2
7/4/2020,Jammu and Kashmir,4
7/4/2020,Jharkhand,0
7/4/2020,Karnataka,25
7/4/2020,Kerala,58
7/4/2020,Ladakh,10
7/4/2020,Madhya Pradesh,0
7/4/2020,Maharashtra,56
7/4/2020,Manipur,0
7/4/2020,Mizoram,0
7/4/2020,Odisha,2
7/4/2020,Puducherry,1
7/4/2020,Punjab,4
7/4/2020,Rajasthan,21
7/4/2020,Tamil Nadu,8
7/4/2020,Telengana,35
7/4/2020,Tripura,0
7/4/2020,Uttarakhand,5
7/4/2020,Uttar Pradesh,21
7/4/2020,West Bengal,13
8/4/2020,Andhra Pradesh,5
8/4/2020,Andaman and Nicobar Islands,0
8/4/2020,Arunachal Pradesh,0
8/4/2020,Assam,0
8/4/2020,Bihar,0
8/4/2020,Chandigarh,7
8/4/2020,Chhattisgarh,9
8/4/2020,Delhi,21
8/4/2020,Goa,0
8/4/2020,Gujarat,25
8/4/2020,Haryana,28
8/4/2020,Himachal Pradesh,2
8/4/2020,Jammu and Kashmir,4
8/4/2020,Jharkhand,0
8/4/2020,Karnataka,25
8/4/2020,Kerala,70
8/4/2020,Ladakh,10
8/4/2020,Madhya Pradesh,0
8/4/2020,Maharashtra,79
8/4/2020,Manipur,0
8/4/2020,Mizoram,0
8/4/2020,Odisha,2
8/4/2020,Puducherry,1
8/4/2020,Punjab,4
8/4/2020,Rajasthan,21
8/4/2020,Tamil Nadu,19
8/4/2020,Telengana,35
8/4/2020,Tripura,0
8/4/2020,Uttarakhand,5
8/4/2020,Uttar Pradesh,26
8/4/2020,West Bengal,13
9/4/2020,Andhra Pradesh,6
9/4/2020,Andaman and Nicobar Islands,0
9/4/2020,Arunachal Pradesh,0
9/4/2020,Assam,0
9/4/2020,Bihar,0
9/4/2020,Chandigarh,7
9/4/2020,Chhattisgarh,9
9/4/2020,Delhi,21
